frame,gt_exists,gt_iou_raw,gt_iou_final,raw_candidate_count,crop_candidate_count,raw_best_score,crop_best_score,output_score,output_source,tracker_active,tracker_gap,detector_ms,crop_ms,tracking_ms,total_ms
14,True,0.0,0.0,1,0,0.20102782547473907,0.0,0.21543846212327478,bridge,True,2,444.06651399913244,296.9388439996692,297.0718050000869,751.7490080008429
15,True,0.564942199504508,0.0,1,1,0.2573915719985962,0.28427788615226746,0.28427788615226746,crop,True,0,440.5332360001921,299.6650370005227,299.9311610001314,750.4814620006073
16,True,0.35287120379988635,0.0,1,1,0.2274693101644516,0.3039383590221405,0.3039383590221405,crop,True,0,444.87969300098484,316.3301249987853,316.69820200113463,772.354422000717
17,True,0.3831005686203605,0.0,2,1,0.2130495309829712,0.40609630942344666,0.40609630942344666,crop,True,0,496.93203899914806,333.53678100138495,333.97194999997737,845.4013129994564
18,True,0.3395336693155725,0.0,3,1,0.295738160610199,0.48704060912132263,0.48704060912132263,crop,True,0,501.25129700063553,338.0065960009233,338.4421029986697,854.8012659994129
19,True,0.0,0.0,2,1,0.3565586805343628,0.418756365776062,0.418756365776062,crop,True,0,489.5517139993899,335.44912499928614,335.88458099984564,839.3070069996611
20,True,0.0,0.0,3,1,0.3360041677951813,0.3944341540336609,0.3944341540336609,crop,True,0,470.73345100034203,318.65260300037335,319.03181899906485,803.7789379995957
21,True,0.2274883420150587,0.0,5,4,0.30177339911460876,0.36806491017341614,0.36806491017341614,crop,True,0,459.5798369991826,311.3102080005774,311.61357200107886,783.6204899995209
22,True,0.20751362309164695,0.0,1,2,0.35253605246543884,0.43014734983444214,0.3947840929031372,crop,True,0,443.1755429995974,297.7809090007213,298.06103599912603,751.8730519987002
23,True,0.17577546333247832,0.0,6,3,0.33133605122566223,0.5527509450912476,0.23934932053089142,crop,True,0,440.0334259989904,298.00833399895055,298.3314599987352,748.2740380000905
24,True,0.0,0.0,6,3,0.3126847445964813,0.49982595443725586,0.25963789224624634,crop,True,0,443.07019699954253,296.918130999984,297.22237500027404,750.2841640016413
25,True,0.7326568108849532,0.0,2,2,0.3172147274017334,0.2577650845050812,0.2577650845050812,crop,True,0,441.5324760011572,301.44647499946586,301.73192199981713,753.1420560007973
26,True,0.22405609219393727,0.0,3,3,0.34092390537261963,0.3123700022697449,0.25720497965812683,crop,True,0,443.04973399994196,298.9085250010248,299.1989319998538,752.2406130010495
27,True,0.0,0.0,1,3,0.4119977653026581,0.40798187255859375,0.2267836332321167,crop,True,0,438.47991099937644,298.1020460010768,298.38463099986257,746.7643210002279
28,True,0.0,0.0,4,2,0.41140639781951904,0.4378235340118408,0.19276608824729918,bridge,True,1,444.0337730011379,297.7782850011863,297.93418100052804,752.074050000374
29,True,0.0,0.0,3,3,0.32777586579322815,0.49680712819099426,0.2137051820755005,crop,True,0,437.9997010000807,298.9414349995059,299.24933099937334,747.3381359995983
30,True,0.0,0.0,4,3,0.3223126530647278,0.2649284899234772,0.2546016275882721,crop,True,0,445.4769510011829,296.299364999868,296.5987750012573,752.3328150000452
31,True,0.13787598185371416,0.0,4,1,0.4078049957752228,0.4324229061603546,0.4324229061603546,crop,True,0,440.23254999956407,297.1756949991686,297.4587459993927,747.8331630009052
32,True,0.5540080053061914,0.0,2,1,0.45078244805336,0.46526598930358887,0.46526598930358887,crop,True,0,444.79138200040325,296.9712689991866,297.24098300175683,752.4820580001688
33,True,0.0,0.0,3,1,0.4059196412563324,0.4373428225517273,0.4373428225517273,crop,True,0,439.88599899967085,296.7098530007206,296.98600899973826,746.9972090002557
34,True,0.0,0.0,7,2,0.37828677892684937,0.3726193606853485,0.3726193606853485,crop,True,0,443.63159900058236,299.94399800125393,300.24285999934364,753.9072780000424
35,True,0.0,0.0,4,1,0.35700687766075134,0.20930801331996918,0.20930801331996918,crop,True,0,441.1346249999042,296.3979260002816,296.7150840013346,748.0334430001676
36,True,0.0,0.0,5,1,0.38995298743247986,0.30259713530540466,0.30259713530540466,crop,True,0,447.5338459997147,297.8724209988286,298.16208999909577,756.7032850001851
37,True,0.0,0.0,6,1,0.31626367568969727,0.2496301382780075,0.2496301382780075,crop,True,0,441.3692590005667,297.8759879988502,298.1721389987797,749.5108900002379
