frame,n_detections_in_buffer,detection_density,median_y_in_buffer,y_range_in_buffer,frames_since_last_det,last_y,dy_last_pair,dy_per_frame_last_pair,dy_buffer_first_to_last
210,30,1.0,720.7803039550781,43.58074951171875,0,697.3508911132812,-2.74774169921875,-2.74774169921875,-43.58074951171875
211,30,1.0,718.5631408691406,43.4254150390625,0,696.0361328125,-1.31475830078125,-1.31475830078125,-43.4254150390625
212,30,1.0,716.4148254394531,39.24505615234375,0,695.907470703125,-0.128662109375,-0.128662109375,-39.24505615234375
213,30,1.0,714.0802612304688,38.5526123046875,0,695.2181396484375,-0.6893310546875,-0.6893310546875,-38.5526123046875
214,30,1.0,712.5448303222656,38.6065673828125,0,694.2711181640625,-0.947021484375,-0.947021484375,-38.6065673828125
215,30,1.0,711.32421875,37.56298828125,0,693.398193359375,-0.8729248046875,-0.8729248046875,-37.56298828125
216,30,1.0,710.0507202148438,37.45904541015625,0,691.8385009765625,-1.5596923828125,-1.5596923828125,-37.45904541015625
217,30,1.0,709.1843566894531,37.7918701171875,0,690.5157470703125,-1.32275390625,-1.32275390625,-37.7918701171875
218,30,1.0,708.5245971679688,37.0628662109375,0,690.380126953125,-0.1356201171875,-0.1356201171875,-37.0628662109375
219,30,1.0,707.4260864257812,37.402099609375,0,689.6697998046875,-0.7103271484375,-0.7103271484375,-37.402099609375
220,30,1.0,706.3378601074219,38.91143798828125,0,687.7426147460938,-1.92718505859375,-1.92718505859375,-38.91143798828125
221,30,1.0,704.7839050292969,38.46435546875,0,687.1885986328125,-0.55401611328125,-0.55401611328125,-38.46435546875
222,30,1.0,702.5660400390625,38.2227783203125,0,685.91552734375,-1.2730712890625,-1.2730712890625,-38.2227783203125
223,30,1.0,700.781494140625,39.59765625,0,683.7760009765625,-2.1395263671875,-2.1395263671875,-39.59765625
224,30,1.0,698.7247619628906,39.58782958984375,0,682.6622314453125,-1.11376953125,-1.11376953125,-39.58782958984375
225,30,1.0,696.6935119628906,39.96148681640625,0,679.3490600585938,-3.31317138671875,-3.31317138671875,-39.96148681640625
226,30,1.0,695.9718017578125,41.48529052734375,0,676.3304443359375,-3.01861572265625,-3.01861572265625,-41.48529052734375
227,30,1.0,695.5628051757812,40.0084228515625,0,675.0054931640625,-1.324951171875,-1.324951171875,-40.0084228515625
228,30,1.0,694.74462890625,40.7823486328125,0,672.3642578125,-2.6412353515625,-2.6412353515625,-40.7823486328125
229,30,1.0,693.8346557617188,42.74578857421875,0,669.197265625,-3.1669921875,-3.1669921875,-42.74578857421875
230,30,1.0,692.6183471679688,43.12237548828125,0,667.5830078125,-1.6142578125,-1.6142578125,-43.12237548828125
231,30,1.0,691.1771240234375,44.84765625,0,664.5484008789062,-3.03460693359375,-3.03460693359375,-44.84765625
232,30,1.0,690.4479370117188,46.7652587890625,0,662.2073974609375,-2.34100341796875,-2.34100341796875,-46.7652587890625
233,30,1.0,690.0249633789062,46.639892578125,0,661.4366455078125,-0.770751953125,-0.770751953125,-46.639892578125
234,30,1.0,688.7062072753906,47.5013427734375,0,659.2742919921875,-2.162353515625,-2.162353515625,-47.5013427734375
